Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
193,1,6,,SWITCH-1,SW18,,,702,,,
194,1,7,,SWITCH-1,SW19,,,792,,,
195,1,8,,SWITCH-1,SW20,,,801,,,
196,1,9,,SWITCH-1,SW21,,,870,,,
197,1,0,,SWITCH-1,SW22,,,840,,,
198,1,TAB,,SWITCH-1,SW23,,,441,,,
199,1,Q,,SWITCH-1,SW24,,,451,,,
200,1,W,,SWITCH-1,SW25,,,479,,,
201,1,E,,SWITCH-1,SW26,,,657,,,
202,1,R,,SWITCH-1,SW27,,,642,,,
203,1,T,,SWITCH-1,SW28,,,603,,,
204,1,Y,,SWITCH-1,SW29,,,747,,,
205,1,U,,SWITCH-1,SW30,,,720,,,
206,1,I,,SWITCH-1,SW31,,,732,,,
207,1,O,,SWITCH-1,SW32,,,867,,,
208,1,P,,SWITCH-1,SW33,,,879,,,
209,1,CAPS,,SWITCH-1,SW34,,,513,,,
210,1,A,,SWITCH-1,SW35,,,537,,,
211,1,S,,SWITCH-1,SW36,,,543,,,
212,1,D,,SWITCH-1,SW37,,,591,,,
213,1,F,,SWITCH-1,SW38,,,666,,,
214,1,G,,SWITCH-1,SW39,,,627,,,
215,1,H,,SWITCH-1,SW40,,,771,,,
216,1,J,,SWITCH-1,SW41,,,777,,,
217,1,K,,SWITCH-1,SW42,,,741,,,
218,1,L,,SWITCH-1,SW43,,,846,,,
219,1,:,,SWITCH-1,SW44,,,900,,,
220,1,SHIFT,,SWITCH-1,SW45,,,546,,,
221,1,Z,,SWITCH-1,SW46,,,507,,,
222,1,X,,SWITCH-1,SW47,,,504,,,
223,1,C,,SWITCH-1,SW48,,,576,,,
224,1,V,,SWITCH-1,SW49,,,585,,,
225,1,B,,SWITCH-1,SW50,,,600,,,
226,1,N,,SWITCH-1,SW51,,,699,,,
227,1,M,,SWITCH-1,SW52,,,729,,,
228,1,,,,SWITCH-1,SW53,,,780,,,
229,1,.,,SWITCH-1,SW54,,,888,,,
230,1,/,,SWITCH-1,SW55,,,855,,,
231,1,CTRL,,SWITCH-1,SW56,,,525,,,
232,1,FN,,SWITCH-1,SW57,,,540,,,
233,1,WIN,,SWITCH-1,SW58,,,549,,,
234,1,ALT,,SWITCH-1,SW59,,,621,,,
235,1,SPACE,,SWITCH-1,SW60,,,765,,,
236,1,R_ALT,,SWITCH-1,SW61,,,2496,,,
237,1,R_CTRL,,SWITCH-1,SW62,,,843,,,
238,1,F11,,SWITCH-1,SW63,,,1122,,,
239,1,F12,,SWITCH-1,SW64,,,972,,,
240,1,PRINT,,SWITCH-1,SW65,,,1170,,,
241,1,DEL,,SWITCH-1,SW66,,,999,,,
242,1,-,,SWITCH-1,SW67,,,1191,,,
243,1,=,,SWITCH-1,SW68,,,978,,,
244,1,BACKSPACE,,SWITCH-1,SW69,,,1026,,,
245,1,PG_UP,,SWITCH-1,SW70,,,1173,,,
246,1,NUM_LOCK,,SWITCH-1,SW71,,,1074,,,
247,1,NUM_/,,SWITCH-1,SW72,,,1182,,,
248,1,NUM_*,,SWITCH-1,SW73,,,1116,,,
249,1,NUM_-,,SWITCH-1,SW74,,,1098,,,
250,1,[,,SWITCH-1,SW75,,,1005,,,
251,1,],,SWITCH-1,SW76,,,963,,,
252,1,\,,SWITCH-1,SW77,,,1194,,,
253,1,PG_DOWN,,SWITCH-1,SW78,,,1077,,,
254,1,NUM_7,,SWITCH-1,SW79,,,1185,,,
255,1,NUM_8,,SWITCH-1,SW80,,,1140,,,
256,1,NUM_9,,SWITCH-1,SW81,,,975,,,
257,1,NUM_+,,SWITCH-1,SW82,,,1227,,,
258,1,ACENTO,,SWITCH-1,SW83,,,1047,,,
259,1,ENTER,,SWITCH-1,SW84,,,1149,,,
260,1,HOME,,SWITCH-1,SW85,,,1068,,,
261,1,NUM_4,,SWITCH-1,SW86,,,1014,,,
262,1,NUM_5,,SWITCH-1,SW87,,,1002,,,
263,1,NUM_6,,SWITCH-1,SW88,,,1203,,,
264,1,R_SHIFT,,SWITCH-1,SW89,,,1113,,,
265,1,UP,,SWITCH-1,SW90,,,990,,,
266,1,END,,SWITCH-1,SW91,,,1161,,,
267,1,NUM_1,,SWITCH-1,SW92,,,1197,,,
268,1,NUM_2,,SWITCH-1,SW93,,,1032,,,
269,1,NUM_3,,SWITCH-1,SW94,,,984,,,
270,1,NUM_ENTER,,SWITCH-1,SW95,,,1351,,,
271,1,LEFT,,SWITCH-1,SW96,,,1179,,,
272,1,DOWN,,SWITCH-1,SW97,,,1224,,,
273,1,RIGHT,,SWITCH-1,SW98,,,1053,,,
274,1,CLEAR,,SWITCH-1,SW99,,,1295,,,
275,1,NUM_0,,SWITCH-1,SW100,,,1299,,,
276,1,NUM_DOT,,SWITCH-1,SW101,,,1023,,,
277,1,RP2040,,ATF-IC-0010,U1,,,147,,,
278,1,POT 10K,10k SMD Trimmer Potentiometer 0.25W Top Adjust Bourns 3314 Series,3314J-2-103E,VR1,Bourns,3314J-2-103E,2476,,,
279,1,RH100-12.000-12-1010-X-TR-NS2,"12 MHz +/-10ppm Crystal 12pF 50 Ohms 4-SMD, No Lead , -30C ~ 85C",RH100-12.000-12-1010-X-TR-NS2,Y1,RALTRON,RH100-12.000-12-1010-X-TR-NS2,273,,,
